"visibility","datetime","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.main","weather.description","city_name","rain.1h"
10000.0,"2025-03-01 00:01:09+08:00",23.47,24.25,23.47,23.47,1013.0,91.0,1013.0,1007.0,3.03,341.0,4.64,100.0,"2025-03-01 06:04:37+08:00","2025-03-01 17:59:19+08:00","Clouds","overcast clouds","City of Passi",""
10000.0,"2025-03-01 00:01:11+08:00",24.11,24.95,24.11,24.11,1014.0,91.0,1014.0,1001.0,3.63,54.0,7.17,100.0,"2025-03-01 06:00:18+08:00","2025-03-01 17:52:59+08:00","Clouds","overcast clouds","City of Sorsogon",""
10000.0,"2025-03-01 00:01:14+08:00",23.0,23.78,23.0,23.0,1011.0,93.0,1011.0,1004.0,3.1,123.0,7.0,100.0,"2025-03-01 05:56:07+08:00","2025-03-01 17:55:04+08:00","Clouds","overcast clouds","Cotabato",""
10000.0,"2025-03-01 00:01:15+08:00",21.84,22.35,21.84,21.84,1017.0,87.0,1017.0,1002.0,1.51,197.0,2.19,51.0,"2025-03-01 06:12:51+08:00","2025-03-01 18:00:15+08:00","Clouds","broken clouds","Dagupan",""
10000.0,"2025-03-01 00:01:16+08:00",27.03,30.5,27.03,27.03,1013.0,87.0,1013.0,994.0,2.46,34.0,3.67,100.0,"2025-03-01 05:58:46+08:00","2025-03-01 17:54:09+08:00","Clouds","overcast clouds","Danao",""
10000.0,"2025-03-01 00:01:19+08:00",27.03,29.62,27.03,27.03,1013.0,78.0,1013.0,1004.0,3.09,340.0,"",75.0,"2025-03-01 05:58:57+08:00","2025-03-01 17:54:37+08:00","Clouds","broken clouds","Dapitan",""
10000.0,"2025-03-01 00:01:21+08:00",24.96,25.7,24.55,26.53,1015.0,84.0,1015.0,998.0,6.21,96.0,11.42,92.0,"2025-03-01 06:13:13+08:00","2025-03-01 18:04:25+08:00","Clouds","overcast clouds","Dasmariñas",""
10000.0,"2025-03-01 00:01:24+08:00",25.05,26.22,25.05,25.05,1012.0,100.0,1012.0,1012.0,1.54,10.0,"",75.0,"2025-03-01 05:50:34+08:00","2025-03-01 17:49:41+08:00","Clouds","broken clouds","Davao",""
10000.0,"2025-03-01 00:01:25+08:00",23.99,24.77,23.99,23.99,1012.0,89.0,1012.0,994.0,1.6,357.0,3.1,98.0,"2025-03-01 05:51:25+08:00","2025-03-01 17:50:53+08:00","Clouds","overcast clouds","Digos",""
10000.0,"2025-03-01 00:01:27+08:00",25.45,26.4,25.45,25.45,1012.0,90.0,1012.0,1006.0,5.38,61.0,10.82,100.0,"2025-03-01 06:00:28+08:00","2025-03-01 17:57:57+08:00","Clouds","overcast clouds","Dipolog",""
10000.0,"2025-03-01 00:01:30+08:00",26.99,30.0,26.99,26.99,1012.0,83.0,1012.0,984.0,2.06,360.0,"",100.0,"2025-03-01 06:00:59+08:00","2025-03-01 17:57:41+08:00","Clouds","overcast clouds","Dumaguete",""
10000.0,"2025-03-01 00:01:31+08:00",24.98,25.52,24.98,24.98,1011.0,76.0,1011.0,1002.0,0.79,19.0,1.91,100.0,"2025-03-01 05:55:44+08:00","2025-03-01 17:53:14+08:00","Clouds","overcast clouds","El Salvador",""
10000.0,"2025-03-01 00:01:34+08:00",25.33,26.16,25.33,25.33,1013.0,86.0,1013.0,1004.0,2.87,29.0,5.07,100.0,"2025-03-01 06:01:03+08:00","2025-03-01 17:56:06+08:00","Clouds","overcast clouds","Escalante",""
10000.0,"2025-03-01 00:01:36+08:00",21.64,22.03,21.64,21.64,1015.0,83.0,1015.0,1017.0,1.65,354.0,2.06,38.0,"2025-03-01 06:13:44+08:00","2025-03-01 18:03:50+08:00","Clouds","scattered clouds","Gapan",""
10000.0,"2025-03-01 00:01:39+08:00",24.61,25.32,24.61,24.61,1011.0,84.0,1011.0,998.0,3.61,358.0,5.52,93.0,"2025-03-01 05:51:49+08:00","2025-03-01 17:51:58+08:00","Clouds","overcast clouds","General Santos",""
10000.0,"2025-03-01 00:01:40+08:00",25.37,26.1,24.96,26.94,1015.0,82.0,1015.0,1007.0,6.72,94.0,10.88,80.0,"2025-03-01 06:13:29+08:00","2025-03-01 18:04:37+08:00","Clouds","broken clouds","General Trias",""
10000.0,"2025-03-01 00:01:43+08:00",24.52,25.51,24.52,24.52,1013.0,95.0,1013.0,951.0,1.16,140.0,1.73,100.0,"2025-03-01 05:53:30+08:00","2025-03-01 17:50:43+08:00","Clouds","overcast clouds","Gingoog City",""
10000.0,"2025-03-01 00:01:45+08:00",25.5,26.3,25.5,25.5,1012.0,84.0,1012.0,992.0,2.13,60.0,2.58,100.0,"2025-03-01 06:03:10+08:00","2025-03-01 17:59:01+08:00","Clouds","overcast clouds","Himamaylan",""
10000.0,"2025-03-01 00:01:47+08:00",21.43,21.95,21.43,21.43,1017.0,89.0,1017.0,1002.0,1.59,112.0,2.29,0.0,"2025-03-01 06:11:00+08:00","2025-03-01 17:59:02+08:00","Clear","clear sky","Ilagan",""
10000.0,"2025-03-01 00:01:49+08:00",22.47,23.28,22.47,22.47,1012.0,96.0,1012.0,976.0,2.08,170.0,1.25,100.0,"2025-03-01 05:56:03+08:00","2025-03-01 17:53:54+08:00","Clouds","overcast clouds","Iligan City",""
10000.0,"2025-03-01 00:01:51+08:00",25.14,25.9,25.14,25.14,1012.0,84.0,1012.0,1011.0,7.04,9.0,11.52,100.0,"2025-03-01 06:04:48+08:00","2025-03-01 17:59:56+08:00","Clouds","overcast clouds","Iloilo City",""
10000.0,"2025-03-01 00:01:54+08:00",25.91,26.57,25.03,27.0,1015.0,77.0,1015.0,1009.0,1.54,110.0,"",75.0,"2025-03-01 06:13:17+08:00","2025-03-01 18:04:22+08:00","Clouds","broken clouds","Imus",""
10000.0,"2025-03-01 00:01:56+08:00",22.29,23.13,22.29,22.29,1015.0,98.0,1015.0,994.0,1.28,64.0,2.11,100.0,"2025-03-01 06:02:48+08:00","2025-03-01 17:55:01+08:00","Clouds","overcast clouds","Iriga City",""
10000.0,"2025-03-01 00:01:58+08:00",25.35,26.06,25.35,25.35,1012.0,81.0,1012.0,992.0,2.23,88.0,3.25,100.0,"2025-03-01 06:02:45+08:00","2025-03-01 17:58:29+08:00","Clouds","overcast clouds","Isabela",""
10000.0,"2025-03-01 00:02:00+08:00",25.41,26.23,25.41,25.41,1012.0,85.0,1012.0,992.0,1.19,49.0,1.86,99.0,"2025-03-01 06:03:20+08:00","2025-03-01 17:59:18+08:00","Clouds","overcast clouds","Kabankalan",""
10000.0,"2025-03-01 00:02:02+08:00",21.97,22.68,21.97,21.97,1013.0,94.0,1013.0,954.0,1.47,114.0,2.15,88.0,"2025-03-01 05:52:37+08:00","2025-03-01 17:51:48+08:00","Clouds","overcast clouds","Kidapawan",""
10000.0,"2025-03-01 00:02:05+08:00",22.78,23.62,22.78,22.78,1012.0,96.0,1012.0,978.0,0.76,124.0,1.32,79.0,"2025-03-01 05:53:19+08:00","2025-03-01 17:53:03+08:00","Clouds","broken clouds","Koronadal",""
10000.0,"2025-03-01 00:02:06+08:00",26.09,26.09,26.09,26.09,1012.0,78.0,1012.0,1006.0,3.66,32.0,5.2,100.0,"2025-03-01 06:03:08+08:00","2025-03-01 17:58:38+08:00","Clouds","overcast clouds","La Carlota",""
10000.0,"2025-03-01 00:02:08+08:00",25.74,26.54,25.74,25.74,1011.0,83.0,1011.0,992.0,4.9,338.0,6.18,84.0,"2025-03-01 05:49:41+08:00","2025-03-01 17:49:51+08:00","Clouds","broken clouds","Lamitan",""
8000.0,"2025-03-01 00:02:10+08:00",23.95,24.86,23.95,23.95,1015.0,94.0,1015.0,1010.0,1.03,120.0,"",75.0,"2025-03-01 06:16:47+08:00","2025-03-01 18:03:37+08:00","Clouds","broken clouds","Laoag",""
